review_id	platform	property_id	property_name	location	caretaker_id	caretaker_name	stay_date	review_date	nights	guests	rating_raw	rating_scale	host_responded	guest_name	review_text
RV001	Airbnb	P01	Serenity Villa	Assagao, Goa	CT01	Suresh Naik	2026-01-12	2026-01-15	3	6	4	5	Yes	Aarti Menon	Beautiful villa and Suresh was incredibly helpful - arranged a cook at short notice and gave great beach tips. Only issue was the pool looked green and wasn't cleaned during our 3-night stay.
RV002	Booking.com	P01	Serenity Villa	Assagao, Goa	CT01	Suresh Naik	2026-02-03	2026-02-05	2	4	6	10	No	M. Fernandes	Lovely property but the swimming pool was not maintained - murky water the whole time. Caretaker was polite and responsive though.
RV003	Google	P01	Serenity Villa	Assagao, Goa	CT01	Suresh Naik	2026-02-20	2026-02-21	2	5	3	5	No	Rohit Bansal	Pool was dirty and clearly hadn't been cleaned in days. Disappointing for the price. The caretaker himself was nice and tried to help.
RV004	Airbnb	P01	Serenity Villa	Assagao, Goa	CT01	Suresh Naik	2026-03-08	2026-03-10	2	4	5	5	Yes	Lena Hoffmann	Perfect stay! Suresh went above and beyond. Spotless interiors, great location in Assagao.
RV005	Booking.com	P01	Serenity Villa	Assagao, Goa	CT01	Suresh Naik	2026-03-22	2026-03-24	2	6	9.2	10	Yes	Sandeep Rao	Excellent host service. Suresh arranged airport pickup and a birthday cake. Highly recommend.
RV006	Airbnb	P02	Hilltop Haven	Lonavala, Maharashtra	CT02	Mahesh Patil	2025-12-28	2025-12-30	2	8	2	5	No	Karan Shah	Listing photos show a clear valley view but ours was blocked by an under-construction building next door. Felt misled. Mahesh was apologetic but couldn't do anything.
RV007	Google	P02	Hilltop Haven	Lonavala, Maharashtra	CT02	Mahesh Patil	2026-01-17	2026-01-18	2	6	2	5	No	Priya Nair	WiFi did not work the entire weekend and we were there to work remotely. Raised it multiple times, no fix.
RV008	Booking.com	P02	Hilltop Haven	Lonavala, Maharashtra	CT02	Mahesh Patil	2026-02-07	2026-02-09	2	10	7.5	10	No	A. Kulkarni	Decent place for a group. WiFi was patchy. Caretaker Mahesh helped with everything else.
RV009	Airbnb	P02	Hilltop Haven	Lonavala, Maharashtra	CT02	Mahesh Patil	2026-03-01	2026-03-03	2	7	4	5	Yes	Tanvi Desai	Good for a family weekend. The master AC stopped working on day 2 but Mahesh got a technician the same day.
RV010	Google	P02	Hilltop Haven	Lonavala, Maharashtra	CT02	Mahesh Patil	2026-03-29	2026-03-30	1	4	5	5	Yes	Vikram Joshi	Great villa, great host. Mahesh is a gem.
RV011	Airbnb	P03	Misty Estate	Chikmagalur, Karnataka	CT03	Lokesh Gowda	2026-01-05	2026-01-07	2	5	3	5	No	Sneha Pillai	Stunning coffee-estate views. But check-in was a mess - caretaker arrived 90 minutes late and we waited outside in the rain.
RV012	Booking.com	P03	Misty Estate	Chikmagalur, Karnataka	CT03	Lokesh Gowda	2026-01-24	2026-01-26	2	6	5	10	No	D. Reddy	Nobody was there to receive us at the scheduled time. Had to call the manager. The property itself is gorgeous.
RV013	Google	P03	Misty Estate	Chikmagalur, Karnataka	CT03	Lokesh Gowda	2026-02-14	2026-02-15	1	4	4	5	No	Megha Iyer	Beautiful location. Hot water in the second bathroom didn't work.
RV014	Airbnb	P03	Misty Estate	Chikmagalur, Karnataka	CT03	Lokesh Gowda	2026-03-11	2026-03-13	2	4	5	5	Yes	James Carter	Magical place, woke up to mist over the hills. Loved it.
RV015	Booking.com	P03	Misty Estate	Chikmagalur, Karnataka	CT03	Lokesh Gowda	2026-04-02	2026-04-04	2	5	8	10	No	H. Shetty	Great estate stay. Geyser in one bathroom was faulty.
RV016	Airbnb	P04	Coorg Canopy	Madikeri, Coorg, Karnataka	CT03	Lokesh Gowda	2026-01-09	2026-01-11	2	6	2	5	No	Nikhil Verma	Check-in was delayed by over an hour and the caretaker was unreachable on phone. Once he arrived it was fine but a frustrating start.
RV017	Google	P04	Coorg Canopy	Madikeri, Coorg, Karnataka	CT03	Lokesh Gowda	2026-02-01	2026-02-02	1	4	4	5	No	Anjali Kapoor	Lovely property surrounded by greenery. Setup took a while on arrival.
RV018	Booking.com	P04	Coorg Canopy	Madikeri, Coorg, Karnataka	CT03	Lokesh Gowda	2026-02-26	2026-02-28	2	5	8.5	10	Yes	R. Pillai	Peaceful and clean. Would visit again.
RV019	Airbnb	P04	Coorg Canopy	Madikeri, Coorg, Karnataka	CT03	Lokesh Gowda	2026-03-19	2026-03-21	2	4	3	5	No	Sara Williams	Nice villa but the road leading up is in terrible condition - our sedan scraped the bottom. Should be mentioned in the listing.
RV020	Airbnb	P05	Backwater Bungalow	Alleppey, Kerala	CT04	Biju Thomas	2026-01-03	2026-01-06	3	4	5	5	Yes	Deepa Krishnan	Biju was the highlight of our trip - arranged a houseboat ride and cooked the best Kerala meals. Felt like family.
RV021	Booking.com	P05	Backwater Bungalow	Alleppey, Kerala	CT04	Biju Thomas	2026-01-28	2026-01-30	2	4	9.5	10	Yes	T. Mathew	Outstanding hospitality. Biju anticipated everything. The bungalow is right on the backwaters.
RV022	Google	P05	Backwater Bungalow	Alleppey, Kerala	CT04	Biju Thomas	2026-02-18	2026-02-19	1	2	5	5	Yes	Olivia Brown	Best caretaker we've ever had. Highly recommend.
RV023	Airbnb	P05	Backwater Bungalow	Alleppey, Kerala	CT04	Biju Thomas	2026-03-05	2026-03-08	3	6	4	5	Yes	Arjun Menon	Wonderful location and host. Mosquitoes were a problem in the evening - bring repellent.
RV024	Booking.com	P05	Backwater Bungalow	Alleppey, Kerala	CT04	Biju Thomas	2026-03-27	2026-03-29	2	4	7	10	No	S. George	Great host. The place smelled a bit damp, probably the humidity by the water.
RV025	Airbnb	P06	Cliffside Retreat	Kasauli, Himachal Pradesh	CT05	Deepak Sharma	2025-12-20	2025-12-22	2	5	2	5	No	Ishaan Gupta	The heating didn't work properly and Kasauli in December is freezing. We were cold all night despite raising it with the caretaker twice.
RV026	Google	P06	Cliffside Retreat	Kasauli, Himachal Pradesh	CT05	Deepak Sharma	2026-01-08	2026-01-09	1	4	2	5	No	Neha Saxena	Room heater broken, very cold. Otherwise nice views.
RV027	Booking.com	P06	Cliffside Retreat	Kasauli, Himachal Pradesh	CT05	Deepak Sharma	2026-01-30	2026-02-01	2	6	6.5	10	No	V. Thakur	Good views but the heating in two rooms was inadequate. Caretaker Deepak was helpful and lent us extra blankets.
RV028	Airbnb	P06	Cliffside Retreat	Kasauli, Himachal Pradesh	CT05	Deepak Sharma	2026-02-22	2026-02-24	2	4	4	5	Yes	Maya Sharma	Gorgeous sunsets from the deck. Deepak made excellent chai every morning. Heating could be better.
RV029	Google	P06	Cliffside Retreat	Kasauli, Himachal Pradesh	CT05	Deepak Sharma	2026-03-15	2026-03-16	1	2	5	5	Yes	Aditya Rao	Loved it. Deepak took great care of us.
RV030	Airbnb	P07	Vineyard Villa	Nashik, Maharashtra	CT06	Ganesh More	2026-01-11	2026-01-13	2	8	1	5	No	Pooja Agarwal	Worst experience. The villa was not cleaned before we arrived - dirty dishes in the sink and hair in the beds. Ganesh blamed the housekeeping vendor.
RV031	Booking.com	P07	Vineyard Villa	Nashik, Maharashtra	CT06	Ganesh More	2026-02-06	2026-02-08	2	6	4	10	No	K. Bhosale	Arrived to an unclean property. Bedsheets were not changed. Very poor.
RV032	Google	P07	Vineyard Villa	Nashik, Maharashtra	CT06	Ganesh More	2026-02-28	2026-03-01	1	4	2	5	No	Ravi Chauhan	Cleanliness was a serious issue on arrival. The vineyard itself is beautiful though.
RV033	Airbnb	P07	Vineyard Villa	Nashik, Maharashtra	CT06	Ganesh More	2026-03-20	2026-03-22	2	2	4	5	Yes	Farah Khan	Lovely vineyard setting, great for a couples getaway. Wine tour next door was a highlight.
RV034	Booking.com	P07	Vineyard Villa	Nashik, Maharashtra	CT06	Ganesh More	2026-04-05	2026-04-07	2	5	8	10	No	N. Patil	Nice property. A bit far from Nashik city, plan your travel.
RV035	Google	P02	Hilltop Haven	Lonavala, Maharashtra	CT02	Mahesh Patil	2026-04-12	2026-04-13	1	12	1	5	No	Yash Mehta	Booked for a group but they turned away our extra guests at the gate citing occupancy policy. Felt blindsided - this wasn't clear at booking.
RV036	Airbnb	P01	Serenity Villa	Assagao, Goa	CT01	Suresh Naik	2026-04-18	2026-04-20	2	4	5	5	Yes	Aarti Menon	Second time staying here and Suresh remembers us every visit. Pool was clean this time - looks like they sorted it out.
RV037	Booking.com	P07	Vineyard Villa	Nashik, Maharashtra	CT06	Ganesh More	2026-04-22	2026-04-24	2	6	3	10	No	S. Joshi	Cleanliness needs serious attention. Second time I've faced this at a Spacez villa.
